name,email,phone_number,fax_number,address,address_subdistrict_id,address_zipcode,notes
PT Express Logistik,contact@expresslogistik.co.id,083145670001,0217701001,Jl Raya Pos No 11 Jakarta,1,10110,National cargo and parcel delivery
CV Nusantara Cargo,admin@nusantaracargo.id,083145670002,0227701002,Jl Soekarno Hatta No 21 Bandung,2,40235,Regional shipping company
PT Samudra Kirim,support@samudrakirim.co.id,083145670003,0317701003,Jl Tanjung Perak No 9 Surabaya,3,60165,Sea freight and container services
CV Cepat Antar,office@cepatantar.id,083145670004,0247701004,Jl Pemuda No 33 Semarang,4,50132,Same day delivery provider
PT Angkasa Distribusi,info@angkasadistribusi.co.id,083145670005,0274701005,Jl Adisucipto No 18 Yogyakarta,5,55281,Air cargo and logistics services
CV Mitra Ekspedisi,mail@mitraekspedisi.id,083145670006,0217701006,Jl Ahmad Yani No 55 Bekasi,6,17141,Warehouse and expedition services
PT Bali Trans Cargo,contact@balitranscargo.co.id,083145670007,0361701007,Jl Cargo Permai No 6 Denpasar,7,80119,Bali regional transportation company
CV Sumatera Delivery,admin@sumateradelivery.id,083145670008,0618701008,Jl Gatot Subroto No 15 Medan,8,20214,North Sumatera logistics operator
PT Kalimantan Freight,sales@kalimantanfreight.co.id,083145670009,0511701009,Jl Veteran No 10 Banjarmasin,9,70122,Bulk shipment and trucking services
CV Borneo Shipping,office@borneoshipping.id,083145670010,0541701010,Jl Pahlawan No 44 Samarinda,10,75124,Heavy equipment transport specialist
PT Sulawesi Ekspres,info@sulawesiekspres.co.id,083145670011,0411701011,Jl AP Pettarani No 17 Makassar,11,90231,Inter island cargo services
CV Jawa Distribusi,contact@jawadistribusi.id,083145670012,0341701012,Jl Soekarno Hatta No 90 Malang,12,65115,Retail product distribution
PT Batam Logistic Center,admin@batamlogistic.co.id,083145670013,0761701013,Jl Engku Putri No 8 Batam,13,29444,Import export logistics services
CV Lampung Cargo,office@lampungcargo.id,083145670014,0721701014,Jl ZA Pagar Alam No 77 Bandar Lampung,14,35118,Regional cargo delivery
PT Andalas Transport,support@andalastransport.co.id,083145670015,0751701015,Jl Veteran No 66 Padang,15,25129,Commercial trucking company
CV Aceh Express,mail@acehexpress.id,083145670016,0651701016,Jl T Nyak Arief No 14 Banda Aceh,16,23121,Document and package courier
PT Manado Freight,sales@manadofreight.co.id,083145670017,0431701017,Jl Sam Ratulangi No 22 Manado,17,95115,Cold chain logistics services
CV Palu Logistic,info@palulogistic.id,083145670018,0451701018,Jl Moh Yamin No 12 Palu,18,94111,Construction material transport
PT Timur Cargo Nusantara,contact@timurcargo.co.id,083145670019,0380701019,Jl El Tari No 19 Kupang,19,85117,Eastern Indonesia shipment operator
CV Papua Delivery,admin@papuadelivery.id,083145670020,0951701020,Jl Abepura No 51 Jayapura,20,99119,Remote area cargo and delivery service
