name,email,phone_number,fax_number,address,address_subdistrict_id,address_zipcode,notes
PT Sumber Elektronik,sales@sumberelektronik.co.id,082134560001,0216601001,Jl Industri Raya No 10 Jakarta,1,10110,Main supplier for electronic devices
CV Baja Konstruksi,admin@bajakonstruksi.id,082134560002,0226601002,Jl Soekarno Hatta No 15 Bandung,2,40235,Steel and construction material supplier
PT Pangan Nusantara,contact@pangannusantara.co.id,082134560003,0317701003,Jl Margomulyo No 8 Surabaya,3,60183,Food and grocery supplier
CV Tekno Digital,office@teknodigital.id,082134560004,0247601004,Jl Pemuda No 20 Semarang,4,50132,Computer accessories distributor
PT Sinar Plastik,info@sinarplastik.co.id,082134560005,0274501005,Jl Magelang Km 7 Yogyakarta,5,55284,Plastic packaging manufacturer
CV Berkah Textile,support@berkahtextile.id,082134560006,0216601006,Jl Otista No 11 Bekasi,6,17113,Textile and clothing supplier
PT Indo Furniture,mail@indofurniture.co.id,082134560007,0361701007,Jl Gatot Subroto Barat No 3 Denpasar,7,80118,Office furniture supplier
CV Mitra Stationery,contact@mitrastationery.id,082134560008,0618801008,Jl Asia No 18 Medan,8,20214,Office stationery wholesaler
PT Agro Makmur,admin@agromakmur.co.id,082134560009,0511801009,Jl Veteran No 14 Banjarmasin,9,70122,Agricultural product supplier
CV Global Sparepart,office@globalsparepart.id,082134560010,0541901010,Jl Ahmad Yani No 77 Samarinda,10,75124,Industrial spare parts supplier
PT Lautan Kimia,sales@lautankimia.co.id,082134560011,0411911011,Jl Perintis No 5 Makassar,11,90231,Chemical and cleaning supplies
CV Tirta Segar,info@tirtasegar.id,082134560012,0341911012,Jl Ijen Boulevard No 9 Malang,12,65115,Beverage and bottled water supplier
PT Prima Cargo,admin@primacargo.co.id,082134560013,0761921013,Jl Engku Putri No 2 Batam,13,29444,Import and logistics supplier
CV Lampung Jaya,contact@lampungjaya.id,082134560014,0721931014,Jl Kartini No 21 Bandar Lampung,14,35118,General trading supplier
PT Andalas Supply,mail@andalassupply.co.id,082134560015,0751941015,Jl Veteran No 88 Padang,15,25129,Hospital and hotel supply distributor
CV Aceh Mandiri,office@acehmandiri.id,082134560016,0651951016,Jl T Panglima Polem No 6 Banda Aceh,16,23121,Government procurement supplier
PT Sulawesi Teknik,support@sulawesiteknik.co.id,082134560017,0431961017,Jl Sam Ratulangi No 30 Manado,17,95115,Heavy equipment supplier
CV Central Karya,admin@centralkarya.id,082134560018,0451971018,Jl Moh Yamin No 17 Palu,18,94111,Construction and project materials
PT Timur Sejahtera,contact@timursejahtera.co.id,082134560019,0380981019,Jl WJ Lalamentik No 5 Kupang,19,85117,Regional logistics and supplies
CV Papua Distribusi,mail@papuadistribusi.id,082134560020,0951991020,Jl Abepura No 45 Jayapura,20,99119,Eastern Indonesia wholesale supplier
