name,email,phone_number,fax_number,address,address_subdistrict_id,address_zipcode,notes
PT Maju Jaya,contact@majujaya.co.id,081234560001,0215501001,Jl Merdeka No 12 Jakarta,1,10110,Corporate electronics customer
CV Sumber Rezeki,admin@sumberrezeki.id,081234560002,0215501002,Jl Kenanga Raya No 5 Bandung,2,40111,Regular wholesale buyer
PT Nusantara Abadi,info@nusantaraabadi.co.id,081234560003,0317702001,Jl Diponegoro No 88 Surabaya,3,60241,Industrial equipment distributor
CV Berkah Sentosa,office@berkahsentosa.id,081234560004,0226603001,Jl Ahmad Yani No 17 Bekasi,4,17141,Construction materials customer
PT Global Teknologi,support@globaltek.co.id,081234560005,0247604001,Jl Gajah Mada No 25 Semarang,5,50134,IT procurement company
CV Anugerah Mandiri,hello@anugerahmandiri.id,081234560006,0274505001,Jl Kaliurang Km 6 Yogyakarta,6,55281,Office supply customer
PT Bintang Timur,sales@bintangtimur.co.id,081234560007,0361706001,Jl Teuku Umar No 21 Denpasar,7,80114,Retail electronics reseller
CV Cipta Karya,admin@ciptakarya.id,081234560008,0618807001,Jl Sutomo No 44 Medan,8,20212,Building materials supplier
PT Surya Abadi,contact@suryaabadi.co.id,081234560009,0511808001,Jl A Yani No 77 Banjarmasin,9,70123,Long term logistics partner
CV Inti Makmur,office@intimakmur.id,081234560010,0541909001,Jl Mulawarman No 8 Samarinda,10,75117,Mining equipment customer
PT Cakrawala Niaga,info@cakrawalaniaga.id,081234560011,0411910001,Jl Perintis Kemerdekaan No 2 Makassar,11,90245,Large volume grocery buyer
CV Harmoni Sejahtera,mail@harmonisejahtera.id,081234560012,0341911001,Jl Soekarno Hatta No 15 Malang,12,65141,Restaurant supply customer
PT Prima Logistik,admin@primalogistik.co.id,081234560013,0761922001,Jl Sudirman No 11 Batam,13,29432,Shipping and warehouse services
CV Tirta Mandiri,contact@tirtamandiri.id,081234560014,0721933001,Jl ZA Pagar Alam No 90 Bandar Lampung,14,35141,Beverage distribution partner
PT Mega Persada,support@megapersada.co.id,081234560015,0751944001,Jl Khatib Sulaiman No 55 Padang,15,25173,Hotel equipment procurement
CV Delta Utama,info@deltautama.id,081234560016,0651955001,Jl T Nyak Arief No 19 Banda Aceh,16,23114,Government office supplier
PT Sinar Baru,office@sinarbaru.co.id,081234560017,0431966001,Jl Sam Ratulangi No 3 Manado,17,95111,Retail chain customer
CV Arta Sejahtera,admin@artasejahtera.id,081234560018,0451977001,Jl Sultan Hasanuddin No 9 Palu,18,94118,Construction contractor client
PT Mitra Bersama,mail@mitrabersama.co.id,081234560019,0380988001,Jl El Tari No 7 Kupang,19,85111,Regional office procurement
CV Karya Nusantara,contact@karyanusantara.id,081234560020,0951999001,Jl Yos Sudarso No 66 Jayapura,20,99112,Eastern Indonesia distributor
